Alpha,Accuracy,Precision,Recall,F1 Score
0.9,0.5544577157142496,0.5544609265880274,0.9999952241132053,0.5869948322090617
0.91,0.5544594833463801,0.5544609466334949,0.9999972669697971,0.586995852688937
0.92,0.5544604934218832,0.5544609979678132,0.9999987358446362,0.5869965807753108
0.93,0.5544611247190727,0.5544609988637783,0.9999993680392832,0.5869968968806316
0.94,0.554460745940759,0.554460998152754,0.9999994942987211,0.5869969585924967
0.95,0.5544608722001969,0.5544609982388444,0.9999998735193862,0.5869971474955303
0.96,0.5544609984596348,0.5544609984596348,1.0,0.5869972107359884
0.97,0.5544609984596348,0.5544609984596348,1.0,0.5869972107359884
0.98,0.5544609984596348,0.5544609984596348,1.0,0.5869972107359884
0.99,0.5544609984596348,0.5544609984596348,1.0,0.5869972107359884
