Alpha,Accuracy,Precision,Recall,F1 Score
0.2,0.6216594102647569,0.6054205891425135,0.9596554959284532,0.7167318238579863
0.22,0.6540262858072914,0.6393266074090578,0.9457860245293374,0.7336700364716756
0.24,0.6836832682291663,0.6750343771059489,0.9282961591300609,0.7486822391920565
0.26,0.7143530951605903,0.7141735417828516,0.9047945483313601,0.7620997627935313
0.27999999999999997,0.7391518147786458,0.7514071248538505,0.8725298961456467,0.7679444642342748
0.29999999999999993,0.7611979844835072,0.793219226737757,0.8286740967377944,0.7664966465076836
0.31999999999999995,0.7769535319010415,0.8354843545156228,0.7747014953267382,0.7567644741057226
0.33999999999999997,0.7790294731987848,0.8684878213434223,0.7170997565637885,0.7332576803038292
0.35999999999999993,0.7785830349392359,0.8943551891132465,0.6690802806753233,0.709039479061041
0.3799999999999999,0.7771015760633684,0.9170611609700591,0.6297335551933528,0.6874305610420953
0.3999999999999999,0.7740632459852429,0.9362182455139682,0.5979724474830039,0.6686825631445698
0.41999999999999993,0.7680143229166666,0.9505819104837603,0.569698941853928,0.6492108301199175
0.4399999999999999,0.7607845052083334,0.9603149708562009,0.5439464322506207,0.6299866536661203
0.4599999999999999,0.7532016330295137,0.9675086935424442,0.5194392482841177,0.6111548650687076
0.47999999999999987,0.7449696180555558,0.9734483984161826,0.4952753684176342,0.5918945464325073
