Alpha,Accuracy,Precision,Recall,F1 Score
1e-12,0.803456149631076,0.7441888400551073,0.967611403366337,0.829945317247924
1.6681005372000558e-12,0.8294144694010417,0.7788575649600885,0.9542670152842223,0.846656655251615
2.7825594022071257e-12,0.8478377278645836,0.8083595282219861,0.9385733925052645,0.8578379210343259
4.6415888336127725e-12,0.8598050265842012,0.8327326689529525,0.9206738317725793,0.8639222923697024
7.742636826811278e-12,0.8671131727430557,0.8529707903773938,0.9010562977452627,0.8659122898761179
1.2915496650148827e-11,0.8718130832248266,0.8701236461780303,0.8802553646671392,0.8651397355550047
2.1544346900318868e-11,0.874066026475694,0.8856208472078357,0.8586337258102028,0.8623899523553719
3.5938136638046254e-11,0.8736669243706601,0.899599423087652,0.8363264224421059,0.8575344835496225
5.994842503189421e-11,0.870526869032118,0.9111414283619035,0.8135913731075013,0.8502669418495532
1e-10,0.8653177218967018,0.9202854032355003,0.790730875992613,0.8409048003609607
