Alpha,Accuracy,Precision,Recall,F1 Score
0.9,0.8261844889322917,0.9999742105736648,0.613963048969921,0.6446206046223493
0.91,0.8205480957031251,0.9999833685153202,0.6068651861396983,0.6376531665069503
0.92,0.8124319118923613,0.9999944596419544,0.5971820391926689,0.6287386648605411
0.93,0.8028165690104164,0.9999984479882048,0.5858168139060905,0.618016476182033
0.94,0.790218505859375,0.9999981705922707,0.5712314239577708,0.6039584793214758
0.95,0.7721728515625,1.0,0.5507512841913108,0.5830857892930362
0.96,0.7472935655381945,1.0,0.5234261929810262,0.5528462399566041
0.97,0.7208089192708332,1.0,0.4950881738180181,0.5215825893473052
0.98,0.6886043294270833,1.0,0.46156114876076826,0.4900222668103122
0.99,0.6351505533854166,1.0,0.40743076052014915,0.43742169607940107
