Alpha,Accuracy,Precision,Recall,F1 Score
0.1,0.5373606363932292,0.5173150403444517,0.993375668552992,0.5611708876513098
0.12000000000000001,0.555474107530382,0.5272073011122442,0.9873032283710412,0.5652850945385479
0.14,0.5762511528862846,0.5364298075356889,0.9783561577953094,0.5680128291991837
0.16000000000000003,0.5989198811848959,0.5478195601170632,0.9687326563041992,0.5720338673345955
0.18000000000000002,0.621661376953125,0.5591537232091062,0.9588656439928124,0.5756157572477016
0.2,0.6446017795138889,0.5721532075528397,0.9496021898977783,0.5805716147228609
0.22000000000000003,0.6608802625868055,0.5822899057658366,0.9390104325614606,0.582969714638797
0.24000000000000002,0.6744924587673612,0.591285606802677,0.9275712457656808,0.584432574996698
0.26,0.6872060818142361,0.6023730490189362,0.9158027140610814,0.5867958870492593
0.28,0.6991261800130206,0.6081191196103167,0.9062784525397665,0.5857243901447196
0.30000000000000004,0.7107008192274306,0.6143475739424433,0.8984797452970479,0.5852500358809147
0.32000000000000006,0.7192174614800346,0.6196428336770774,0.8905006010290435,0.5838551833657056
0.3400000000000001,0.7261086018880206,0.6238174873839458,0.8802367465475086,0.5819611404965008
0.3600000000000001,0.7324384223090281,0.6274849751186232,0.8701019994779243,0.5797768447554078
0.38,0.738666042751736,0.6305547319965357,0.8499548622918109,0.57709503206936
0.4,0.745012681749132,0.6331819195086289,0.8331872910281382,0.5738806006913293
