Alpha,Accuracy,Precision,Recall,F1 Score
0.1,0.5879720052083333,0.5664823886119791,0.9832468158027484,0.7026869667487342
0.12000000000000001,0.6606233723958335,0.6393582731184017,0.9599858817384869,0.7442748040833572
0.14,0.7070751274956599,0.6959269359374319,0.9276187279155288,0.7657635343145524
0.16000000000000003,0.7423550075954864,0.7498786921480647,0.8841826747041328,0.7752182234749287
0.18000000000000002,0.7674904378255211,0.8055040440059136,0.8173604925001504,0.7689019156406026
0.2,0.7712504069010419,0.8535769268060465,0.7381319442556371,0.7358749130763251
0.22000000000000003,0.7716499159071182,0.8862750690147416,0.680866035061618,0.7052171587931109
0.24000000000000002,0.7683318413628467,0.9093610716505625,0.6364968152973594,0.6772829880747944
0.26,0.7630571153428815,0.9238896285724484,0.6027854129007489,0.6531278238371847
0.28,0.7574613444010416,0.9355220571798517,0.5732129519326834,0.6309497431299671
