Alpha,Accuracy,Precision,Recall,F1 Score
0.1,0.11632446289062502,0.10513100029865283,0.9988511973937694,0.1765253072320047
0.15000000000000002,0.13498521592881949,0.11191629472866733,0.9943367848324937,0.18169869324576177
0.20000000000000004,0.175069580078125,0.14145393893081035,0.9865537266787184,0.20878594590830143
0.25000000000000006,0.2815851508246528,0.1846610430322866,0.975348144256207,0.2517843420921031
0.30000000000000004,0.49770846896701376,0.34186039988750655,0.9376541328803373,0.39527059317413576
0.3500000000000001,0.6367447916666665,0.4659508833205193,0.8610014623420595,0.4787085270444206
0.4,0.7461930338541666,0.6294692404606763,0.76093435269061,0.5478673745882404
0.45,0.7717321777343747,0.7316766443585313,0.6655572540449198,0.5368648462361318
0.5,0.7832763671874998,0.7676858145566459,0.5758355078889493,0.4837248463166384
0.55,0.8059880913628473,0.7869565083616107,0.4911130880712472,0.4203021744118621
