Alpha,Accuracy,Precision,Recall,F1 Score
0.0001,0.8014425998263888,0.7673340992836285,0.9429606363181907,0.831561156767546
0.00016378937069540646,0.8379272460937499,0.8202691364997244,0.9156230351926886,0.8510849773009125
0.00026826957952797245,0.8622127278645833,0.8661552062938255,0.8837167849176101,0.8613772086139069
0.00043939705607607906,0.8716143798828123,0.8987507874247365,0.8518657082546994,0.8619398944450225
0.0007196856730011522,0.8735344780815976,0.9237899602555594,0.8193823806461996,0.85620797600155
0.0011787686347935866,0.8712539333767357,0.9446526174229354,0.7863400537636415,0.8465073394007407
0.0019306977288832496,0.8628474256727432,0.958510725334734,0.7535083446651853,0.8316426804077152
0.0031622776601683794,0.8531934950086807,0.9699616756295404,0.7215947542187106,0.8148206443701608
0.005179474679231213,0.8416684299045142,0.9776555122585089,0.6907152305143771,0.795858921932191
0.008483428982440717,0.8288277180989587,0.9833623067065794,0.6590189890642422,0.7745484959476546
0.013894954943731374,0.8149466281467014,0.9873586399714757,0.6271382746832712,0.7512363271732366
0.022758459260747887,0.8008305528428821,0.9904500111772387,0.5959119375044302,0.7268539242513161
0.03727593720314938,0.7868048773871531,0.9924452905454565,0.5658664995224306,0.7019932234191961
0.061054022965853265,0.7727543131510415,0.9935880269625537,0.5364545999306446,0.6764788156847341
0.1,0.7588235812717015,0.994829375253924,0.5075192576836237,0.6502525485402638
