Alpha,Accuracy,Precision,Recall,F1 Score
0.6,0.6452583821614585,0.6550143920500463,0.9087190325129416,0.7250988408606943
0.61,0.6554347059461805,0.6728303835871604,0.8912012047713098,0.7267176008381824
0.62,0.6607579888237848,0.6872899344650907,0.8730638934783732,0.7249988266191697
0.63,0.6667894151475696,0.7015535378807825,0.8552690675453691,0.7229106765461754
0.64,0.6733229573567708,0.7153884834015498,0.8368701961854151,0.7204022008109818
0.65,0.6772861735026041,0.7275969809591599,0.8175807436154333,0.7156693699884237
0.66,0.6852283393012156,0.7436992481365872,0.7959212088376043,0.7125229564985236
0.67,0.6947638617621531,0.7627445041720418,0.7741198430741849,0.71069728537897
0.68,0.700219455295139,0.7806124528643967,0.7472164597545212,0.7052715973199564
0.6900000000000001,0.7037402343749999,0.7988235180364228,0.7208555284859789,0.6982023272635616
0.7000000000000001,0.7082487657335069,0.8181945658886228,0.6947225994071928,0.6911433624195931
0.7100000000000001,0.7095943196614586,0.8363409566444314,0.6659364123299221,0.6806874306862659
0.7200000000000001,0.7097017415364583,0.8537818026462213,0.6347310855745928,0.6672621717215198
0.7300000000000001,0.7071164279513892,0.8697269050748734,0.60272134413357,0.6506755253448078
0.7400000000000001,0.700831841362847,0.8838320565070541,0.5678803687415762,0.6296090415298725
0.7500000000000001,0.691069607204861,0.8942763481751055,0.5305892241524878,0.6032940540533012
0.7600000000000001,0.6789362250434029,0.9020592014792641,0.4879033355251678,0.5714089700044425
0.7700000000000001,0.665881144205729,0.9083311548972078,0.4467895766345771,0.5363376127257964
0.7800000000000001,0.6527791341145834,0.9151620851831127,0.4088686381635548,0.5010457932478553
0.7900000000000001,0.6392872450086807,0.9189483903543072,0.37231209977358753,0.46587495278853747
0.8000000000000002,0.6270758056640624,0.9241913048435098,0.33680370553263683,0.4313146963257751
