epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4959178566932678,1.9896941184997559,0.3894485533237457,1.5061023235321045
1,0.5792709589004517,1.3453805446624756,0.5023970007896423,1.3065489530563354
2,0.6020463109016418,1.0691770315170288,0.36619675159454346,1.512270212173462
3,0.6098766922950745,0.9286978244781494,0.5940409302711487,1.3577194213867188
4,0.6064687967300415,0.8467363119125366,0.5744237303733826,0.9158617854118347
5,0.6236032843589783,0.7761015295982361,0.5365172028541565,0.97212153673172
6,0.6065959930419922,0.7935028076171875,0.5638105273246765,0.8479280471801758
7,0.6064710021018982,0.7660326957702637,0.5704910755157471,0.8924618363380432
8,0.6196695566177368,0.7570983171463013,0.5382254123687744,0.8178039193153381
9,0.6244266629219055,0.7791160345077515,0.4980197846889496,0.8944265246391296
10,0.6150978207588196,0.7508737444877625,0.5540671944618225,0.9927883744239807
11,0.6437070965766907,0.7212006449699402,0.5651171803474426,0.8719369769096375
12,0.5998359322547913,0.7649463415145874,0.4650345742702484,0.8443247079849243
13,0.645310640335083,0.6938778758049011,0.4880751669406891,0.894297182559967
14,0.626213014125824,0.6922245025634766,0.5699447989463806,0.7829997539520264
